price,date
97569.95169430465,2025-02-16
96149.3484548204,2025-02-17
95776.15723852723,2025-02-18
95495.89153299287,2025-02-19
96554.87156259285,2025-02-20
98384.31738240314,2025-02-21
96135.15541305285,2025-02-22
96564.15414290235,2025-02-23
96327.46309127835,2025-02-24
91396.76686930266,2025-02-25
88755.7693356979,2025-02-26
83900.11496524839,2025-02-27
84709.14477847965,2025-02-28
84441.9012237131,2025-03-01
86005.25629681018,2025-03-02
94261.53286538439,2025-03-03
86124.71418722175,2025-03-04
87310.80531078295,2025-03-05
90604.08098523637,2025-03-06
90001.40087607042,2025-03-07
86773.33597555371,2025-03-08
86142.9833586432,2025-03-09
80751.13893300897,2025-03-10
78783.94057934263,2025-03-11
82799.1080292053,2025-03-12
83884.24578828987,2025-03-13
81098.90052436228,2025-03-14
83971.70916064628,2025-03-15
84391.69087647168,2025-03-16
82610.61750343916,2025-03-17
84216.93636753448,2025-03-17
